season,episode_num_in_season,episode_num_overall,title,directed_by,written_by,original_air_date,prod_code,us_viewers
1,1,1,Pilot,Phil Lord & Christopher Miller,Dan Goor & Michael Schur,2013-09-17,101.0,6170000.0
1,2,2,The Tagger,Craig Zisk,Norm Hiscock,2013-09-24,102.0,4030000.0000000005
1,3,3,The Slump,Julie Anne Robinson,Prentice Penny,2013-10-01,105.0,3430000.0
1,4,4,M.E. Time,Troy Miller,Gil Ozeri,2013-10-08,106.0,3340000.0
1,5,5,The Vulture,Jason Ensler,Laura McCreary,2013-10-15,104.0,3430000.0
1,6,6,Halloween,Dean Holland,Lesley Arfin,2013-10-22,107.0,3770000.0
1,7,7,48 Hours,Peter Lauer,Luke Del Tredici,2013-11-05,103.0,3840000.0
1,8,8,Old School,Beth McCarthy-Miller,Gabe Liedman,2013-11-12,109.0,3260000.0
1,9,9,Sal's Pizza,Craig Zisk,Lakshmi Sundaram,2013-11-19,108.0,3360000.0
1,10,10,Thanksgiving,Jorma Taccone,Luke Del Tredici,2013-11-26,110.0,3690000.0
1,11,11,Christmas,Jake Szymanski,Dan Goor,2013-12-03,111.0,3660000.0
1,12,12,Pontiac Bandit,Craig Zisk,Norm Hiscock & Lakshmi Sundaram,2014-01-07,113.0,3440000.0
1,13,13,The Bet,Julian Farino,Laura McCreary,2014-01-14,112.0,3530000.0
1,14,14,The Ebony Falcon,Michael Blieden,Prentice Penny,2014-01-21,114.0,4550000.0
1,15,15,Operation: Broken Feather,Julie Anne Robinson,Dan Goor & Michael Schur,2014-02-02,116.0,15070000.0
1,16,16,The Party,Michael Engler,Gil Ozeri & Gabe Liedman,2014-02-04,115.0,3220000.0
1,17,17,Full Boyle,Craig Zisk,Norm Hiscock,2014-02-11,117.0,2880000.0
1,18,18,The Apartment,Tucker Gates,David Quandt,2014-02-25,118.0,2660000.0
1,19,19,Tactical Village,Fred Goss,Luke Del Tredici,2014-03-04,119.0,2610000.0
1,20,20,Fancy Brudgom,"Victor Nelli, Jr.",Laura McCreary,2014-03-11,120.0,2490000.0
1,21,21,Unsolvable,Ken Whittingham,Prentice Penny,2014-03-18,121.0,2500000.0
1,22,22,Charges and Specs,Akiva Schaffer,Gabe Liedman & Gil Ozeri,2014-03-25,122.0,2590000.0
2,1,23,Undercover,Dean Holland,Luke Del Tredici,2014-09-28,201.0,5460000.0
2,2,24,Chocolate Milk,Fred Goss,Gabe Liedman,2014-10-05,202.0,3310000.0
2,3,25,The Jimmy Jab Games,Rebecca Asher,Lakshmi Sundaram,2014-10-12,203.0,4510000.0
2,4,26,Halloween II,Eric Appel,Prentice Penny,2014-10-19,204.0,5220000.0
2,5,27,The Mole,"Victor Nelli, Jr.",Laura McCreary,2014-11-02,205.0,3410000.0
2,6,28,Jake and Sophia,Michael McDonald,Tricia McAlpin & David Phillips,2014-11-09,206.0,3990000.0
2,7,29,Lockdown,Linda Mendoza,Luke Del Tredici,2014-11-16,208.0,4530000.0
2,8,30,USPIS,Ken Whittingham,Brian Reich,2014-11-23,207.0,3040000.0
2,9,31,The Road Trip,Beth McCarthy-Miller,Brigitte Munoz-Liebowitz,2014-11-30,209.0,3110000.0
2,10,32,The Pontiac Bandit Returns,Max Winkler,Matt O'Brien,2014-12-07,210.0,4320000.0
2,11,33,Stakeout,Tristram Shapeero,Laura McCreary & Tricia McAlpin,2014-12-14,211.0,3520000.0
2,12,34,Beach House,Tim Kirkby,Lakshmi Sundaram & David Phillips,2015-01-04,212.0,6120000.0
2,13,35,Payback,"Victor Nelli, Jr.",Norm Hiscock & Brigitte Munoz-Liebowitz,2015-01-11,213.0,3290000.0
2,14,36,Defense Rests,Jamie Babbit,Prentice Penny & Matt O'Brien,2015-01-25,214.0,2790000.0
2,15,37,Windbreaker City,Craig Zisk,Gabe Liedman,2015-02-08,215.0,2590000.0
2,16,38,The Wednesday Incident,Claire Scanlon,Laura McCreary,2015-02-15,216.0,2080000.0
2,17,39,Boyle-Linetti Wedding,Dean Holland,Matt O'Brien,2015-03-01,217.0,3610000.0
2,18,40,Captain Peralta,Eric Appel,Dan Goor,2015-03-08,218.0,3110000.0
2,19,41,Sabotage,Jay Karas,Brian Reich,2015-03-15,219.0,2960000.0
2,20,42,AC/DC,Linda Mendoza,Kylie Condon,2015-04-26,222.0,2780000.0
2,21,43,Det. Dave Majors,Michael McDonald,Gabe Liedman & Lakshmi Sundaram,2015-05-03,220.0,2720000.0
2,22,44,The Chopper,Phil Traill,Tricia McAlpin & David Phillips,2015-05-10,221.0,2560000.0
2,23,45,Johnny and Dora,Dean Holland,Luke Del Tredici,2015-05-17,223.0,2350000.0
3,1,46,New Captain,Michael Schur,Matt Murray,2015-09-27,301.0,3140000.0
3,2,47,The Funeral,Claire Scanlon,Luke Del Tredici,2015-10-04,302.0,4099999.9999999995
3,3,48,Boyle's Hunch,Trent O'Donnell,Tricia McAlpin,2015-10-11,304.0,2750000.0
